lead_id,source,intent,message,response_delay_min,converted
1,google_ads,high,je suis intéressé on peut parler ?,90.76,0
2,google_ads,low,info stp,120.67,0
3,instagram,low,curieux,76.81,0
4,facebook_ads,high,je veux commencer rapidement,21.77,0
5,google_ads,low,info stp,30.64,1
6,organic,low,curieux,92.28,0
7,google_ads,medium,ça coûte combien ?,117.94,0
8,google_ads,low,je regarde juste,202.24,0
9,facebook_ads,low,info stp,68.98,0
10,referral,low,je regarde juste,17.97,0
11,facebook_ads,medium,plus d'infos,50.32,1
12,referral,medium,plus d'infos,135.13,0
13,organic,low,info stp,44.14,0
14,referral,medium,ça coûte combien ?,105.87,0
15,facebook_ads,medium,comment ça marche ?,21.08,1
16,facebook_ads,medium,comment ça marche ?,13.29,1
17,referral,medium,ça coûte combien ?,93.69,0
18,organic,medium,ça coûte combien ?,113.84,0
19,facebook_ads,low,curieux,23.6,0
20,instagram,high,je veux commencer rapidement,28.97,0
21,referral,medium,ça coûte combien ?,88.43,0
22,google_ads,medium,plus d'infos,34.72,1
23,referral,medium,comment ça marche ?,42.63,0
24,facebook_ads,medium,ça coûte combien ?,13.62,0
25,google_ads,medium,plus d'infos,58.75,0
26,facebook_ads,medium,plus d'infos,128.88,0
27,facebook_ads,low,curieux,7.0,0
28,google_ads,high,je veux commencer rapidement,21.81,1
29,google_ads,medium,comment ça marche ?,7.66,1
30,organic,low,je regarde juste,31.03,1
31,facebook_ads,low,info stp,41.26,0
32,facebook_ads,low,je regarde juste,225.34,0
33,facebook_ads,low,je regarde juste,16.43,0
34,google_ads,high,je suis intéressé on peut parler ?,66.91,0
35,facebook_ads,medium,comment ça marche ?,60.03,0
36,google_ads,low,je regarde juste,9.8,0
37,instagram,high,je suis intéressé on peut parler ?,14.93,0
38,referral,low,info stp,11.5,0
39,google_ads,high,je veux commencer rapidement,67.56,0
40,facebook_ads,medium,plus d'infos,17.9,0
41,referral,medium,comment ça marche ?,16.61,1
42,referral,high,je suis intéressé on peut parler ?,12.55,1
43,instagram,high,prix et dispo ?,90.81,0
44,facebook_ads,low,curieux,66.34,0
45,google_ads,high,je veux commencer rapidement,0.3,1
46,google_ads,medium,comment ça marche ?,15.24,0
47,facebook_ads,low,info stp,76.58,0
48,google_ads,medium,plus d'infos,18.49,1
49,organic,low,curieux,141.93,0
50,google_ads,medium,ça coûte combien ?,40.7,1
51,instagram,low,info stp,87.8,0
52,organic,medium,plus d'infos,147.81,0
53,facebook_ads,high,je veux commencer rapidement,48.28,0
54,organic,low,je regarde juste,29.18,0
55,facebook_ads,low,je regarde juste,30.12,0
56,organic,low,curieux,57.27,0
57,facebook_ads,medium,plus d'infos,23.37,0
58,facebook_ads,medium,ça coûte combien ?,20.85,0
59,referral,high,je veux commencer rapidement,5.11,1
60,instagram,low,curieux,95.32,0
61,facebook_ads,low,curieux,34.63,0
62,facebook_ads,low,curieux,20.26,0
